District,Year,Season,Crop,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall,Humidity,N,P,K,pH,Organic_Carbon,NDVI_Peak,Yield,Disease_Occurred
Banaskantha,2010,Kharif,Sesamum,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.46,0
Banaskantha,2010,Kharif,Urad,26.49257534,8.11,46.73,1432.522697,49.81164384,43.70613636,62.53245455,29.35818182,6.901386582,0.67392135,0.772665799,0.85,0
Banaskantha,2010,Kharif,other oilseeds,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.33,0
Banaskantha,2010,Rabi,Gram,26.49257534,8.11,46.73,1432.522697,49.81164384,43.70613636,62.53245455,29.35818182,6.901386582,0.67392135,0.772665799,1.33,0
Banaskantha,2010,Rabi,Maize,26.49257534,8.11,46.73,1432.522697,49.81164384,68.23713636,50.16295455,29.71568182,6.323691342,0.764281408,0.772665799,1.8,0
Banaskantha,2010,Rabi,Other Cereals,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,1.29,0
Banaskantha,2010,Rabi,Rapeseed &Mustard,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,1.54,0
Banaskantha,2010,Rabi,Tobacco,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,1.98,0
Banaskantha,2010,Rabi,Wheat,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,3.02,0
Banaskantha,2010,Summer,Bajra,26.49257534,8.11,46.73,1432.522697,49.81164384,31.62913636,49.88345455,30.00168182,6.704581177,0.635587958,0.772665799,2.36,0
Banaskantha,2010,Summer,Groundnut,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,1.78,0
Banaskantha,2010,Summer,Moong(Green Gram),26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.59,0
Banaskantha,2010,Whole Year,Dry chillies,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,1.17,0
Banaskantha,2010,Whole Year,Guar seed,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.71,0
Banaskantha,2010,Whole Year,Potato,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,25.9,0
Bharuch,2010,Kharif,Arhar/Tur,27.65868493,10.67,46.83,1195.607887,62.21813699,31.16763636,62.70145455,30.04068182,6.030531695,0.605656387,0.727827627,0.93,0
Bharuch,2010,Kharif,Bajra,27.65868493,10.67,46.83,1195.607887,62.21813699,31.62913636,49.88345455,30.00168182,6.704581177,0.61256938,0.727827627,1.25,0
Bharuch,2010,Kharif,Castor seed,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,1.65,0
Bharuch,2010,Kharif,Cotton(lint),27.65868493,10.67,46.83,1195.607887,62.21813699,94.24363636,48.73295455,29.56618182,6.757557095,0.830660612,0.727827627,1.88,0
Bharuch,2010,Kharif,Groundnut,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,1.91,0
